_S_B_	_S_B_	O
The	DT	O
absence	NN	B-Quality
of	IN	O
many	JJ	O
other	JJ	O
organisms	NNS	B-Biotic_Entity
on	IN	O
the	DT	O
leaves	NNS	B-Biotic_Entity
of	IN	O
planted	JJ	B-Eventuality
trees	NNS	B-Biotic_Entity
-	:	O
except	IN	O
for	IN	O
the	DT	O
probably	RB	O
Asian	JJ	B-Biotic_Entity
horse-chestnut	JJ	I-Biotic_Entity
scale	NN	I-Biotic_Entity
insect	NN	I-Biotic_Entity
Pulvinaria	NNP	B-Biotic_Entity-L
regalis	VBZ	I-Biotic_Entity
Canard	NNP	O
,	,	O
the	DT	O
dothidiomycete	JJ	B-Biotic_Entity
leaf	NN	I-Biotic_Entity
blotch	NN	I-Biotic_Entity
fungus	NN	I-Biotic_Entity
Guignardia	NNP	B-Biotic_Entity-L
aesculi	NN	I-Biotic_Entity
(	(	O
Peck	NNP	O
)	)	O
V.B.	NNP	O
Stewart	NNP	O
of	IN	O
North	JJ	B-Location
American	JJ	I-Location
origin	NN	B-Eventuality
(	(	O
Augustin	NNP	O
,	,	O
2005	CD	O
)	)	O
and	CC	O
in	IN	B-Time
the	DT	I-Time
last	JJ	I-Time
few	JJ	I-Time
years	NNS	I-Time
,	,	O
a	DT	O
powdery	NN	B-Biotic_Entity
mildew	NN	I-Biotic_Entity
Erysiphe	NNP	B-Biotic_Entity-L
flexuosa	NN	I-Biotic_Entity
(	(	O
Peck	NNP	O
)	)	O
U.	NNP	O
Braun	NNP	O
et	FW	O
S.	NNP	O
Takamatsuhas	NNP	O
that	WDT	O
is	VBZ	O
either	RB	O
invasive	JJ	B-Quality
from	IN	O
North	NNP	B-Location
America	NNP	I-Location
or	CC	O
may	MD	O
be	VB	O
of	IN	O
Balkan	NNP	B-Location
origin	NN	B-Eventuality
(	(	O
Denchev	NNP	O
,	,	O
2008	CD	O
)	)	O
-	:	O
has	VBZ	O
given	VBN	O
this	DT	O
moth	NN	B-Biotic_Entity
an	DT	O
almost	RB	O
free	JJ	B-Eventuality
reign	NN	I-Eventuality
to	TO	O
colonise	VB	B-Eventuality
clean	JJ	B-Quality
plants	NNS	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
It	PRP	O
should	MD	O
be	VB	O
noted	VBN	O
,	,	O
